"TMAX
Deg. C","TMIN
Deg. C","RAINFALL 
IN MM","DayOfThe
Week","Workday?
True/False","Weekend?
True/False","Holiday?
True/False","Celebrations?
True/False",#Present
34.6,24.8,0,Wednesday,TRUE,FALSE,FALSE,FALSE,612
35.7,24.3,0,Thursday,TRUE,FALSE,FALSE,FALSE,723
36.9,23.6,0,Friday,TRUE,FALSE,FALSE,FALSE,500
36.7,23.8,0,Saturday,FALSE,TRUE,FALSE,FALSE,13
38.4,23.9,0,Sunday,FALSE,TRUE,FALSE,FALSE,1
35.1,24.8,0,Monday,TRUE,FALSE,FALSE,FALSE,441
34.4,24.8,0,Tuesday,TRUE,FALSE,FALSE,FALSE,620
35.6,24.8,0,Wednesday,TRUE,FALSE,FALSE,FALSE,550
35.3,23.1,0,Thursday,TRUE,FALSE,FALSE,FALSE,588
36,22.8,0.3,Friday,TRUE,FALSE,FALSE,FALSE,469
31.5,23.8,25.6,Saturday,FALSE,TRUE,FALSE,FALSE,17
32.9,23.6,2.1,Sunday,FALSE,TRUE,FALSE,FALSE,11
34.5,23.7,0,Monday,TRUE,FALSE,FALSE,FALSE,1012
34.3,23.5,0,Tuesday,TRUE,FALSE,FALSE,FALSE,964
34.5,23,0,Wednesday,TRUE,FALSE,FALSE,FALSE,1031
34.4,23.5,0,Thursday,TRUE,FALSE,FALSE,FALSE,1044
33,23.7,0,Friday,TRUE,FALSE,FALSE,FALSE,659
34.2,23.9,0,Saturday,FALSE,TRUE,FALSE,FALSE,18
32.3,23.4,0,Sunday,FALSE,TRUE,FALSE,TRUE,4
28.1,23.7,0,Monday,TRUE,FALSE,FALSE,FALSE,658
29.3,22.6,1.3,Tuesday,TRUE,FALSE,FALSE,TRUE,980
31.8,22.9,0,Wednesday,TRUE,FALSE,FALSE,FALSE,759
30.6,22.7,2.4,Thursday,TRUE,FALSE,FALSE,FALSE,824
30.9,22.6,1.6,Friday,TRUE,FALSE,FALSE,FALSE,489
31.8,23.6,0.4,Saturday,FALSE,TRUE,FALSE,FALSE,14
31.4,24.3,0,Sunday,FALSE,TRUE,FALSE,FALSE,155
29.1,23.8,0.1,Monday,TRUE,FALSE,FALSE,FALSE,709
29.5,22.5,1,Tuesday,TRUE,FALSE,FALSE,FALSE,922
32.7,23.2,0.2,Wednesday,TRUE,FALSE,FALSE,FALSE,959
31.4,22.6,0,Thursday,TRUE,FALSE,FALSE,FALSE,782
27.7,21.8,7.8,Friday,TRUE,FALSE,FALSE,TRUE,405
29.1,22.8,4.8,Saturday,FALSE,TRUE,FALSE,FALSE,104
30.4,22.7,3.4,Sunday,FALSE,TRUE,FALSE,FALSE,5
30,22.5,3.4,Monday,TRUE,FALSE,FALSE,FALSE,853
28.1,21.9,8.2,Tuesday,TRUE,FALSE,FALSE,FALSE,940
25.8,22.1,19.6,Wednesday,TRUE,FALSE,FALSE,FALSE,868
25.6,22.1,16.3,Thursday,TRUE,FALSE,FALSE,FALSE,744
27.2,22.3,13.9,Friday,TRUE,FALSE,FALSE,FALSE,543
26.3,22.2,11.2,Saturday,FALSE,TRUE,FALSE,FALSE,13
25.9,22.2,20,Sunday,FALSE,TRUE,FALSE,TRUE,3
25.9,21.8,22.1,Monday,TRUE,FALSE,FALSE,FALSE,760
24.2,21.2,46,Tuesday,TRUE,FALSE,FALSE,FALSE,867
23.1,20.2,49,Wednesday,TRUE,FALSE,FALSE,TRUE,782
25.8,21.3,53.6,Thursday,TRUE,FALSE,FALSE,FALSE,658
25.6,21.4,14.5,Friday,TRUE,FALSE,FALSE,FALSE,534
27.5,21.8,8.1,Saturday,FALSE,TRUE,FALSE,FALSE,16
28.6,22.2,3.9,Sunday,FALSE,TRUE,FALSE,FALSE,5
24.9,22.4,1.6,Monday,TRUE,FALSE,FALSE,FALSE,822
28.6,21.9,3.8,Tuesday,TRUE,FALSE,FALSE,FALSE,1120
28.1,21.5,0.2,Wednesday,TRUE,FALSE,FALSE,FALSE,1075
28.6,21.7,0.1,Thursday,TRUE,FALSE,FALSE,FALSE,1029
28.8,21.9,1.2,Friday,TRUE,FALSE,FALSE,FALSE,615
27.1,22.1,0,Saturday,FALSE,TRUE,FALSE,FALSE,21
25.9,21.3,5.3,Sunday,FALSE,TRUE,FALSE,FALSE,7
28.6,21.9,0.9,Monday,TRUE,FALSE,FALSE,FALSE,856
26.8,21.9,4,Tuesday,TRUE,FALSE,FALSE,FALSE,1236
31.3,21.6,1,Wednesday,TRUE,FALSE,FALSE,FALSE,1205
32.4,21.4,50.4,Thursday,TRUE,FALSE,FALSE,FALSE,1198
31.5,23.4,3.3,Friday,TRUE,FALSE,FALSE,FALSE,678
31.7,23.1,8.6,Saturday,FALSE,TRUE,FALSE,FALSE,29
31.7,22.7,0,Sunday,FALSE,TRUE,FALSE,FALSE,5
31.2,21.9,0,Monday,TRUE,FALSE,FALSE,FALSE,923
30.7,21.9,0,Tuesday,TRUE,FALSE,FALSE,FALSE,1383
32.1,22.9,0,Wednesday,TRUE,FALSE,FALSE,FALSE,1440
32.3,21.5,4,Thursday,TRUE,FALSE,FALSE,FALSE,1216
31.1,22.6,8.2,Friday,TRUE,FALSE,FALSE,FALSE,750
29.6,21.2,15.9,Saturday,FALSE,TRUE,FALSE,FALSE,34
30.9,22.2,1.2,Sunday,FALSE,TRUE,FALSE,TRUE,8
26.6,21.6,36.8,Monday,TRUE,FALSE,FALSE,FALSE,939
25.2,21.7,13.8,Tuesday,TRUE,FALSE,FALSE,TRUE,1030
26.4,21.4,23.2,Wednesday,TRUE,FALSE,FALSE,FALSE,1059
27.6,22,16.1,Thursday,TRUE,FALSE,FALSE,TRUE,642
26.8,22.4,3.6,Friday,TRUE,FALSE,FALSE,FALSE,329
27.7,21.7,5.6,Saturday,FALSE,TRUE,FALSE,FALSE,13
27.5,21.9,2.2,Sunday,FALSE,TRUE,FALSE,FALSE,25
26.8,21.9,1.8,Monday,FALSE,FALSE,TRUE,TRUE,96
26.5,20.7,9.1,Tuesday,TRUE,FALSE,FALSE,TRUE,1009
28.2,21.8,0.9,Wednesday,TRUE,FALSE,FALSE,FALSE,1155
28.8,21.7,1.3,Thursday,TRUE,FALSE,FALSE,TRUE,1078
27.6,21.5,3,Friday,TRUE,FALSE,FALSE,TRUE,582
27.8,21.7,0.5,Saturday,FALSE,TRUE,FALSE,FALSE,18
28.4,21.6,0.6,Sunday,FALSE,TRUE,FALSE,FALSE,5
28.1,21.7,0.5,Monday,TRUE,FALSE,FALSE,FALSE,904
28.3,22.4,1.6,Tuesday,TRUE,FALSE,FALSE,FALSE,1318
27.5,22,1.4,Wednesday,TRUE,FALSE,FALSE,FALSE,1279
29.2,21.7,2,Thursday,TRUE,FALSE,FALSE,FALSE,1271
30.8,21,0,Friday,TRUE,FALSE,FALSE,FALSE,807
29.6,19.8,0,Saturday,FALSE,TRUE,FALSE,FALSE,56
30.5,19.5,0,Sunday,FALSE,TRUE,FALSE,FALSE,6
30.3,20.6,0,Monday,TRUE,FALSE,FALSE,FALSE,879
32.6,21.7,0,Tuesday,TRUE,FALSE,FALSE,FALSE,1020
34.6,23.3,10.9,Wednesday,FALSE,FALSE,TRUE,TRUE,10
32.6,20.8,13,Thursday,TRUE,FALSE,FALSE,FALSE,795
33.1,22.4,0.2,Friday,TRUE,FALSE,FALSE,FALSE,506
34.4,22.4,0.1,Saturday,FALSE,TRUE,FALSE,FALSE,17
31.8,23.2,9.4,Sunday,FALSE,TRUE,FALSE,FALSE,4
31.6,22.6,0,Monday,TRUE,FALSE,FALSE,FALSE,721
32.4,22,0,Tuesday,TRUE,FALSE,FALSE,FALSE,1159
29.6,22.4,18.1,Wednesday,TRUE,FALSE,FALSE,FALSE,1167
