"TMAX
Deg. C","TMIN
Deg. C","RAINFALL 
IN MM","Day(1-Mon,2-Tue,3-Wed,4-Thur,5-Fri,6-Sat,7-Sun)","Workday?
1/0","Weekend?
1/0","Holiday?
1/0","Celebrations?
1/0",#Present
34.6,24.8,0,3,1,0,0,0,612
35.7,24.3,0,4,1,0,0,0,723
36.9,23.6,0,5,1,0,0,0,500
36.7,23.8,0,6,0,1,0,0,13
38.4,23.9,0,7,0,1,0,0,1
35.1,24.8,0,1,1,0,0,0,441
34.4,24.8,0,2,1,0,0,0,620
35.6,24.8,0,3,1,0,0,0,550
35.3,23.1,0,4,1,0,0,0,588
36,22.8,0.3,5,1,0,0,0,469
31.5,23.8,25.6,6,0,1,0,0,17
32.9,23.6,2.1,7,0,1,0,0,11
34.5,23.7,0,1,1,0,0,0,1012
34.3,23.5,0,2,1,0,0,0,964
34.5,23,0,3,1,0,0,0,1031
34.4,23.5,0,4,1,0,0,0,1044
33,23.7,0,5,1,0,0,0,659
34.2,23.9,0,6,0,1,0,0,18
32.3,23.4,0,7,0,1,0,1,4
28.1,23.7,0,1,1,0,0,0,658
29.3,22.6,1.3,2,1,0,0,1,980
31.8,22.9,0,3,1,0,0,0,759
30.6,22.7,2.4,4,1,0,0,0,824
30.9,22.6,1.6,5,1,0,0,0,489
31.8,23.6,0.4,6,0,1,0,0,14
31.4,24.3,0,7,0,1,0,0,155
29.1,23.8,0.1,1,1,0,0,0,709
29.5,22.5,1,2,1,0,0,0,922
32.7,23.2,0.2,3,1,0,0,0,959
31.4,22.6,0,4,1,0,0,0,782
27.7,21.8,7.8,5,1,0,0,1,405
29.1,22.8,4.8,6,0,1,0,0,104
30.4,22.7,3.4,7,0,1,0,0,5
30,22.5,3.4,1,1,0,0,0,853
28.1,21.9,8.2,2,1,0,0,0,940
25.8,22.1,19.6,3,1,0,0,0,868
25.6,22.1,16.3,4,1,0,0,0,744
27.2,22.3,13.9,5,1,0,0,0,543
26.3,22.2,11.2,6,0,1,0,0,13
25.9,22.2,20,7,0,1,0,1,3
25.9,21.8,22.1,1,1,0,0,0,760
24.2,21.2,46,2,1,0,0,0,867
23.1,20.2,49,3,1,0,0,1,782
25.8,21.3,53.6,4,1,0,0,0,658
25.6,21.4,14.5,5,1,0,0,0,534
27.5,21.8,8.1,6,0,1,0,0,16
28.6,22.2,3.9,7,0,1,0,0,5
24.9,22.4,1.6,1,1,0,0,0,822
28.6,21.9,3.8,2,1,0,0,0,1120
28.1,21.5,0.2,3,1,0,0,0,1075
28.6,21.7,0.1,4,1,0,0,0,1029
28.8,21.9,1.2,5,1,0,0,0,615
27.1,22.1,0,6,0,1,0,0,21
25.9,21.3,5.3,7,0,1,0,0,7
28.6,21.9,0.9,1,1,0,0,0,856
26.8,21.9,4,2,1,0,0,0,1236
31.3,21.6,1,3,1,0,0,0,1205
32.4,21.4,50.4,4,1,0,0,0,1198
31.5,23.4,3.3,5,1,0,0,0,678
31.7,23.1,8.6,6,0,1,0,0,29
31.7,22.7,0,7,0,1,0,0,5
31.2,21.9,0,1,1,0,0,0,923
30.7,21.9,0,2,1,0,0,0,1383
32.1,22.9,0,3,1,0,0,0,1440
32.3,21.5,4,4,1,0,0,0,1216
31.1,22.6,8.2,5,1,0,0,0,750
29.6,21.2,15.9,6,0,1,0,0,34
30.9,22.2,1.2,7,0,1,0,1,8
26.6,21.6,36.8,1,1,0,0,0,939
25.2,21.7,13.8,2,1,0,0,1,1030
26.4,21.4,23.2,3,1,0,0,0,1059
27.6,22,16.1,4,1,0,0,1,642
26.8,22.4,3.6,5,1,0,0,0,329
27.7,21.7,5.6,6,0,1,0,0,13
27.5,21.9,2.2,7,0,1,0,0,25
26.8,21.9,1.8,1,0,0,1,1,96
26.5,20.7,9.1,2,1,0,0,1,1009
28.2,21.8,0.9,3,1,0,0,0,1155
28.8,21.7,1.3,4,1,0,0,1,1078
27.6,21.5,3,5,1,0,0,1,582
27.8,21.7,0.5,6,0,1,0,0,18
28.4,21.6,0.6,7,0,1,0,0,5
28.1,21.7,0.5,1,1,0,0,0,904
28.3,22.4,1.6,2,1,0,0,0,1318
27.5,22,1.4,3,1,0,0,0,1279
29.2,21.7,2,4,1,0,0,0,1271
30.8,21,0,5,1,0,0,0,807
29.6,19.8,0,6,0,1,0,0,56
30.5,19.5,0,7,0,1,0,0,6
30.3,20.6,0,1,1,0,0,0,879
32.6,21.7,0,2,1,0,0,0,1020
34.6,23.3,10.9,3,0,0,1,1,10
32.6,20.8,13,4,1,0,0,0,795
33.1,22.4,0.2,5,1,0,0,0,506
34.4,22.4,0.1,6,0,1,0,0,17
31.8,23.2,9.4,7,0,1,0,0,4
31.6,22.6,0,1,1,0,0,0,721
32.4,22,0,2,1,0,0,0,1159
29.6,22.4,18.1,3,1,0,0,0,1167
31.1,21.6,47.8,4,1,0,0,1,930
31.9,22.6,1.3,5,0,0,1,0,22
31.2,23.4,0,6,0,1,0,0,27
32.9,23,0.1,7,0,1,0,0,11
30.5,21.9,38.7,1,1,0,0,0,1075
26.2,22.2,6.8,2,1,0,0,0,1439
27.4,21.8,9.4,3,1,0,0,0,1481
29.6,21.7,4.3,4,1,0,0,0,1397
24.1,21.9,14.8,5,1,0,0,0,626
29.7,20.7,31,6,0,1,0,0,64
27.8,21.1,1.5,7,0,1,0,0,13
26.6,20.3,0.8,1,1,0,0,0,1099
24.8,21.1,4.8,2,1,0,0,0,1457
26.7,19.7,1.7,3,1,0,0,0,1530
28.7,20.8,0,4,1,0,0,0,1400
28.1,20,0,5,1,0,0,1,798
30.1,19.6,0,6,0,1,0,0,28
29,21.7,0.5,7,0,1,0,0,6
27,20.8,0,1,1,0,0,1,981
30.4,21.8,0.3,2,1,0,0,0,1372
28.8,21.6,0.3,3,1,0,0,0,1325
31.3,22.1,0.6,4,1,0,0,0,1375
33.1,21.3,26.5,5,1,0,0,0,782
