DATE,UTC_TMAX,TMAX_C,UTC_TMIN,TMIN_C,Humidity_pc,RAINFALL_mm,DAY,Workday,Weekend,Holiday,Celebrations,Count
01-Jun-22,1200,34.6,300,24.8,64,0,Wednesday,1,0,0,0,612
02-Jun-22,1200,35.7,300,24.3,71,0,Thursday,1,0,0,0,723
03-Jun-22,1200,36.9,300,23.6,64,0,Friday,1,0,0,0,500
04-Jun-22,1200,36.7,300,23.8,60,0,Saturday,0,1,0,0,13
05-Jun-22,1200,38.4,300,23.9,65,0,Sunday,0,1,0,0,1
06-Jun-22,1200,35.1,300,24.8,72,0,Monday,1,0,0,0,441
07-Jun-22,1200,34.4,300,24.8,67,0,Tuesday,1,0,0,0,620
08-Jun-22,1200,35.6,300,24.8,68,0,Wednesday,1,0,0,0,550
09-Jun-22,1200,35.3,300,23.1,78,0,Thursday,1,0,0,0,588
10-Jun-22,1200,36,300,22.8,68,0.3,Friday,1,0,0,0,469
11-Jun-22,1200,31.5,300,23.8,76,25.6,Saturday,0,1,0,0,17
12-Jun-22,1200,32.9,300,23.6,70,2.1,Sunday,0,1,0,0,11
13-Jun-22,1200,34.5,300,23.7,66,0,Monday,1,0,0,0,1012
14-Jun-22,1200,34.3,300,23.5,67,0,Tuesday,1,0,0,0,964
15-Jun-22,1200,34.5,300,23,68,0,Wednesday,1,0,0,0,1031
16-Jun-22,1200,34.4,300,23.5,66,0,Thursday,1,0,0,0,1044
17-Jun-22,1200,33,300,23.7,72,0,Friday,1,0,0,0,659
18-Jun-22,1200,34.2,300,23.9,64,0,Saturday,0,1,0,0,18
19-Jun-22,1200,32.3,300,23.4,71,0,Sunday,0,1,0,1,4
20-Jun-22,1200,28.1,300,23.7,76,0,Monday,1,0,0,0,658
21-Jun-22,1200,29.3,300,22.6,85,1.3,Tuesday,1,0,0,1,980
22-Jun-22,1200,31.8,300,22.9,77,0,Wednesday,1,0,0,0,759
23-Jun-22,1200,30.6,300,22.7,86,2.4,Thursday,1,0,0,0,824
24-Jun-22,1200,30.9,300,22.6,70,1.6,Friday,1,0,0,0,489
25-Jun-22,1200,31.8,300,23.6,84,0.4,Saturday,0,1,0,0,14
26-Jun-22,1200,31.4,300,24.3,73,0,Sunday,0,1,0,0,155
27-Jun-22,1200,29.1,300,23.8,76,0.1,Monday,1,0,0,0,709
28-Jun-22,1200,29.5,300,22.5,89,1,Tuesday,1,0,0,0,922
29-Jun-22,1200,32.7,300,23.2,72,0.2,Wednesday,1,0,0,0,959
30-Jun-22,1200,31.4,300,22.6,71,0,Thursday,1,0,0,0,782
01-Jul-22,1200,27.7,300,21.8,95,7.8,Friday,1,0,0,1,405
02-Jul-22,1200,29.1,300,22.8,81,4.8,Saturday,0,1,0,0,104
03-Jul-22,1200,30.4,300,22.7,86,3.4,Sunday,0,1,0,0,5
04-Jul-22,1200,30,300,22.5,87,3.4,Monday,1,0,0,0,853
05-Jul-22,1200,28.1,300,21.9,84,8.2,Tuesday,1,0,0,0,940
06-Jul-22,1200,25.8,300,22.1,98,19.6,Wednesday,1,0,0,0,868
07-Jul-22,1200,25.6,300,22.1,95,16.3,Thursday,1,0,0,0,744
08-Jul-22,1200,27.2,300,22.3,85,13.9,Friday,1,0,0,0,543
09-Jul-22,1200,26.3,300,22.2,95,11.2,Saturday,0,1,0,0,13
10-Jul-22,1200,25.9,300,22.2,85,20,Sunday,0,1,0,1,3
11-Jul-22,1200,25.9,300,21.8,93,22.1,Monday,1,0,0,0,760
12-Jul-22,1200,24.2,300,21.2,91,46,Tuesday,1,0,0,0,867
13-Jul-22,1200,23.1,300,20.2,97,49,Wednesday,1,0,0,1,782
14-Jul-22,1200,25.8,300,21.3,88,53.6,Thursday,1,0,0,0,658
15-Jul-22,1200,25.6,300,21.4,95,14.5,Friday,1,0,0,0,534
16-Jul-22,1200,27.5,300,21.8,93,8.1,Saturday,0,1,0,0,16
17-Jul-22,1200,28.6,300,22.2,87,3.9,Sunday,0,1,0,0,5
18-Jul-22,1200,24.9,300,22.4,90,1.6,Monday,1,0,0,0,822
19-Jul-22,1200,28.6,300,21.9,93,3.8,Tuesday,1,0,0,0,1120
20-Jul-22,1200,28.1,300,21.5,87,0.2,Wednesday,1,0,0,0,1075
21-Jul-22,1200,28.6,300,21.7,87,0.1,Thursday,1,0,0,0,1029
22-Jul-22,1200,28.8,300,21.9,79,1.2,Friday,1,0,0,0,615
23-Jul-22,1200,27.1,300,22.1,84,0,Saturday,0,1,0,0,21
24-Jul-22,1200,25.9,300,21.3,88,5.3,Sunday,0,1,0,0,7
25-Jul-22,1200,28.6,300,21.9,93,0.9,Monday,1,0,0,0,856
26-Jul-22,1200,26.8,300,21.9,85,4,Tuesday,1,0,0,0,1236
27-Jul-22,1200,31.3,300,21.6,92,1,Wednesday,1,0,0,0,1205
28-Jul-22,1200,32.4,300,21.4,84,50.4,Thursday,1,0,0,0,1198
29-Jul-22,1200,31.5,300,23.4,92,3.3,Friday,1,0,0,0,678
30-Jul-22,1200,31.7,300,23.1,83,8.6,Saturday,0,1,0,0,29
31-Jul-22,1200,31.7,300,22.7,81,0,Sunday,0,1,0,0,5
01-Aug-22,1200,31.2,300,21.9,81,0,Monday,1,0,0,0,923
02-Aug-22,1200,30.7,300,21.9,86,0,Tuesday,1,0,0,0,1383
03-Aug-22,1200,32.1,300,22.9,81,0,Wednesday,1,0,0,0,1440
04-Aug-22,1200,32.3,300,21.5,90,4,Thursday,1,0,0,0,1216
05-Aug-22,1200,31.1,300,22.6,93,8.2,Friday,1,0,0,0,750
06-Aug-22,1200,29.6,300,21.2,82,15.9,Saturday,0,1,0,0,34
07-Aug-22,1200,30.9,300,22.2,89,1.2,Sunday,0,1,0,1,8
08-Aug-22,1200,26.6,300,21.6,93,36.8,Monday,1,0,0,0,939
09-Aug-22,1200,25.2,300,21.7,93,13.8,Tuesday,1,0,0,1,1030
10-Aug-22,1200,26.4,300,21.4,93,23.2,Wednesday,1,0,0,0,1059
11-Aug-22,1200,27.6,300,22,93,16.1,Thursday,1,0,0,1,642
12-Aug-22,1200,26.8,300,22.4,90,3.6,Friday,1,0,0,0,329
13-Aug-22,1200,27.7,300,21.7,93,5.6,Saturday,0,1,0,0,13
14-Aug-22,1200,27.5,300,21.9,95,2.2,Sunday,0,1,0,0,25
15-Aug-22,1200,26.8,300,21.9,92,1.8,Monday,0,0,1,1,96
16-Aug-22,1200,26.5,300,20.7,88,9.1,Tuesday,1,0,0,1,1009
17-Aug-22,1200,28.2,300,21.8,88,0.9,Wednesday,1,0,0,0,1155
18-Aug-22,1200,28.8,300,21.7,87,1.3,Thursday,1,0,0,1,1078
19-Aug-22,1200,27.6,300,21.5,92,3,Friday,1,0,0,1,582
20-Aug-22,1200,27.8,300,21.7,90,0.5,Saturday,0,1,0,0,18
21-Aug-22,1200,28.4,300,21.6,81,0.6,Sunday,0,1,0,0,5
22-Aug-22,1200,28.1,300,21.7,84,0.5,Monday,1,0,0,0,904
23-Aug-22,1200,28.3,300,22.4,87,1.6,Tuesday,1,0,0,0,1318
24-Aug-22,1200,27.5,300,22,92,1.4,Wednesday,1,0,0,0,1279
25-Aug-22,1200,29.2,300,21.7,87,2,Thursday,1,0,0,0,1271
26-Aug-22,1200,30.8,300,21,82,0,Friday,1,0,0,0,807
27-Aug-22,1200,29.6,300,19.8,85,0,Saturday,0,1,0,0,56
28-Aug-22,1200,30.5,300,19.5,76,0,Sunday,0,1,0,0,6
29-Aug-22,1200,30.3,300,20.6,81,0,Monday,1,0,0,0,879
30-Aug-22,1200,32.6,300,21.7,83,0,Tuesday,1,0,0,0,1020
31-Aug-22,1200,34.6,300,23.3,98,10.9,Wednesday,0,0,1,1,10
01-Sep-22,1200,32.6,300,20.8,92,13,Thursday,1,0,0,0,795
02-Sep-22,1200,33.1,300,22.4,89,0.2,Friday,1,0,0,0,506
03-Sep-22,1200,34.4,300,22.4,75,0.1,Saturday,0,1,0,0,17
04-Sep-22,1200,31.8,300,23.2,89,9.4,Sunday,0,1,0,0,4
05-Sep-22,1200,31.6,300,22.6,83,0,Monday,1,0,0,0,721
06-Sep-22,1200,32.4,300,22,78,0,Tuesday,1,0,0,0,1159
07-Sep-22,1200,29.6,300,22.4,89,18.1,Wednesday,1,0,0,0,1167
08-Sep-22,1200,31.1,300,21.6,98,47.8,Thursday,1,0,0,1,930
09-Sep-22,1200,31.9,300,22.6,90,1.3,Friday,0,0,1,0,22
10-Sep-22,1200,31.2,300,23.4,82,0,Saturday,0,1,0,0,27
11-Sep-22,1200,32.9,300,23,89,0.1,Sunday,0,1,0,0,11
12-Sep-22,1200,30.5,300,21.9,93,38.7,Monday,1,0,0,0,1075
13-Sep-22,1200,26.2,300,22.2,95,6.8,Tuesday,1,0,0,0,1439
14-Sep-22,1200,27.4,300,21.8,95,9.4,Wednesday,1,0,0,0,1481
15-Sep-22,1200,29.6,300,21.7,84,4.3,Thursday,1,0,0,0,1397
16-Sep-22,1200,24.1,300,21.9,98,14.8,Friday,1,0,0,0,626
17-Sep-22,1200,29.7,300,20.7,90,31,Saturday,0,1,0,0,64
18-Sep-22,1200,27.8,300,21.1,90,1.5,Sunday,0,1,0,0,13
19-Sep-22,1200,26.6,300,20.3,87,0.8,Monday,1,0,0,0,1099
20-Sep-22,1200,24.8,300,21.1,91,4.8,Tuesday,1,0,0,0,1457
21-Sep-22,1200,26.7,300,19.7,83,1.7,Wednesday,1,0,0,0,1530
22-Sep-22,1200,28.7,300,20.8,79,0,Thursday,1,0,0,0,1400
23-Sep-22,1200,28.1,300,20,80,0,Friday,1,0,0,1,798
24-Sep-22,1200,30.1,300,19.6,83,0,Saturday,0,1,0,0,28
25-Sep-22,1200,29,300,21.7,82,0.5,Sunday,0,1,0,0,6
26-Sep-22,1200,27,300,20.8,84,0,Monday,1,0,0,1,981
27-Sep-22,1200,30.4,300,21.8,90,0.3,Tuesday,1,0,0,0,1372
28-Sep-22,1200,28.8,300,21.6,85,0.3,Wednesday,1,0,0,0,1325
29-Sep-22,1200,31.3,300,22.1,90,0.6,Thursday,1,0,0,0,1375
30-Sep-22,1200,33.1,300,21.3,90,26.5,Friday,1,0,0,0,782
